class,title,description,link
0,宝飾品(ホウショクヒン)とは - コトバンク,デジタル大辞泉 - 宝飾品の用語解説 - 宝石や貴金属などで装飾した品。ジュエリー。,https://kotobank.jp/word/%E5%AE%9D%E9%A3%BE%E5%93%81-627913
0,装身具 - Wikipedia,"装身具（そうしんぐ）とは、指輪やネックレス、ペンダント、イヤリングなど、衣類と合わせ
て身を飾るための工芸品である。 目次. 1 歴史; 2 宝飾品の誕生; 3 宝飾品に関する
職業; 4 語法; 5 素材; 6 種類; 7 貴金属装身具の製法、および製品の区別; 8 ギャラリー
 ...",https://ja.wikipedia.org/wiki/%E8%A3%85%E8%BA%AB%E5%85%B7
1,宝飾品・アクセサリー | 京セラ,"京セラの宝飾品、アクセサリー【公式サイト】トップページ。ジュエリーブランドの
クレサンベール、ブライダルジュエリーブランドのレガロ、ファーストインテンションをご
紹介します。",https://www.kyocera.co.jp/prdct/jewelry/
0,宝飾品（ほうしょくひん）の意味 - goo国語辞書,"ほうしょくひん【宝飾品】とは。意味や解説、類語。宝石や貴金属などで装飾した品。
ジュエリー。 - goo国語辞書は30万語以上を収録。政治・経済・医学・ITなど、最新用語
の追加も定期的に行っています。",https://dictionary.goo.ne.jp/jn/201922/meaning/m0u/
0,宝飾品に関するまとめ - ファッションプレス,"宝飾品に関するトピックのまとめ。ファッションプレスでは、宝飾品以外にも、ファッション
を中心にブランド、グルメ、音楽、映画、アート、カルチャーなどライフスタイルに関する
最新ニュースや取材レポートをスピーディに配信しています。",https://www.fashion-press.net/words/1183
1,宝飾品の販売・買取｜金・プラチナ・銀・パラジウム・ダイヤモンド・宝飾品 ...,"御徒町2店舗と大阪支店で宝飾品を大量展示販売. 本社店頭及び御徒町南口店では
最新のジュエリーを常時大量展示、お客様のお越しをお待ちしております。 ※大阪支店
の店頭でも宝飾品の常時展示販売を開始致しました。 ネットジャパン東京本社1F 本社
1F.",https://www.net-japan.co.jp/jewelry/
1,宝飾品・時計｜ショップ情報一覧 ｜渋谷・本店｜東急百貨店公式 ...,"宝石・ブライダルリング. 渋谷・本店 ５階 宝石売場 03-3477-3420 · FRANCK 
MULLER（フランクミュラー）. 時計 宝飾品. 渋谷・本店 ５階 宝石 時計 メガネ 呉服 03-
3477-3706 · BVLGARI （ブルガリ）. 宝飾品・時計. 渋谷・本店 １階 シグネチャー 
アヴェニュー",https://www.tokyu-dept.co.jp/honten/shop/category_list.html?category=%E5%AE%9D%E9%A3%BE%E5%93%81%E3%83%BB%E6%99%82%E8%A8%88
1,ジュエリーKANDA | ジュエリーKANDAの公式サイト。宝石・宝飾・時計 ...,"KANDAは過去から紡いできている宝飾品を、未来へ紡いでいくことを使命とし、
そのために、ジュエリーを中心とした商品の開発、何度でも足を運びたくなるような
温かみのある店舗の開発、笑顔を絶やさず明るく元気な人材の開発を、時代の変化に
対応して行っ ...",http://www.jkanda.co.jp/
0,「宝飾品」の英語・英語例文・英語表現 - Weblio和英辞書,"宝飾品｣は英語でどう表現する？【単語】a jewel...【例文】11-01 Jewellery....【その他の
表現】an ornament... - 1000万語以上収録！英訳・英文・英単語の使い分けなら
Weblio英和・和英辞書.",https://ejje.weblio.jp/content/%E5%AE%9D%E9%A3%BE%E5%93%81
1,宝飾品 | 買いたい | 総合リサイクルショップ ワンダーレックス,"ダイヤモンドリング、ネックレスなどを中心に、総合リサイクルショップワンダーレックスで
販売を行っている宝飾品をご案内いたします。掲載している商品は店舗でもネット通販
でもお買い求めが可能です。商品はすべて一点ものとなりますので、気になる商品はお
 ...",https://www.wonderrex.jp/buy/newitems/jewelry/
0,パルプ - Wikipedia,"パルプとは、主に製紙に用いるために分離した植物繊維である。現在は主に木材を原料
としてパルプを製造するが、水素結合を生じる繊維であれば製紙原料として使用できる
ため、草・藁・竹などの原料からパルプを抽出することも出来る。 1719年にフランス人の
 ...",https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%AB%E3%83%97
1,紙ができるまで | 大王製紙株式会社,"大王製紙では、総合製紙メーカーとして原料から製品までを一括生産しています。
クラフトパルプ・古紙パルプ・機械パルプなど各種パルプを生産し、あらゆる品種の紙を
一貫生産できるシステムを有しています。 また、廃棄物の際利用にも取り組んでおり、
限り ...",http://www.daio-paper.co.jp/paper/index.html
0,パルプ (バンド) - Wikipedia,"パルプ (Pulp) は、イギリス・シェフィールド出身のロックバンドである。1978年結成、
2002年解散。2011年に再結成。 目次. 1 概要; 2 メンバー; 3 来歴. 3.1 デビュー・
下積み時代; 3.2 栄光の到来; 3.3 活動休止; 3.4 パルプ再始動まで. 4 ディスコグラフィ.",https://ja.wikipedia.org/wiki/%E3%83%91%E3%83%AB%E3%83%97_(%E3%83%90%E3%83%B3%E3%83%89)
0,愛媛パルプ協同組合 | 未来へ、美しい自然を残したい。,未来へ、美しい自然を残したい。,https://aipa.or.jp/
0,"パルプ (ちくま文庫) | チャールズ ブコウスキー, Charles Bukowski, 柴田 ...","Amazonでチャールズ ブコウスキー, Charles Bukowski, 柴田 元幸のパルプ (ちくま
文庫)。アマゾンならポイント還元本が多数。チャールズ ブコウスキー, Charles 
Bukowski, 柴田 元幸作品ほか、お急ぎ便対象商品は当日お届けも可能。またパルプ (
ちくま ...",https://www.amazon.co.jp/%E3%83%91%E3%83%AB%E3%83%97-%E3%81%A1%E3%81%8F%E3%81%BE%E6%96%87%E5%BA%AB-%E3%83%81%E3%83%A3%E3%83%BC%E3%83%AB%E3%82%BA-%E3%83%96%E3%82%B3%E3%82%A6%E3%82%B9%E3%82%AD%E3%83%BC/dp/4480433473
